id;time;subscriber;aprefix;destination;invoicegroup;prefix;pbx;direction;volumetimesecs;price;free;forward;servingnetwork;reason;billed;zone
935212061;06-03-2019 12:06;4570200645;Danmark 70 nummer;45314560XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
935214017;06-03-2019 12:15;4569669636;Danmark Fastnet;45201478XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;1020;6,85;no;0;;0;yes;Norden Mobil (DK)
935214470;06-03-2019 12:17;4570200645;Danmark 70 nummer;45217348XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
935214700;06-03-2019 12:18;46840838262;Sweden;467254650XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
935215810;06-03-2019 12:23;4578772916;Danmark Fastnet;45416004XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
935216552;06-03-2019 12:26;4578772913;Danmark Fastnet;467340022XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
935219797;06-03-2019 12:39;4569804965;Danmark Fastnet;45437116XX;Danmark;Danmark Fastnet;rackpeoplehq-;ip-pstn;1020;0,9;no;0;;0;yes;Norden (DK)
935223070;06-03-2019 12:52;4578772913;Danmark Fastnet;45306802XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;480;3,25;no;0;;0;yes;Norden Mobil (DK)
935224639;06-03-2019 12:58;4578772918;Danmark Fastnet;45414177XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
935225350;06-03-2019 13:00;4578772918;Danmark Fastnet;45239181XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
935226156;06-03-2019 13:03;4578772918;Danmark Fastnet;45248264XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;540;3,65;no;0;;0;yes;Norden Mobil (DK)
935227070;06-03-2019 13:06;46840838262;Sweden;467017217XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;120;1,1;no;0;;0;yes;Norden Mobil
935227077;06-03-2019 13:06;4578772919;Danmark Fastnet;45205314XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
935227661;06-03-2019 13:08;4578772913;Danmark Fastnet;47922662XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
935227774;06-03-2019 13:09;4578772913;Danmark Fastnet;47922662XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
935227858;06-03-2019 13:09;4570200645;Danmark 70 nummer;45616031XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;180;1,25;no;0;;0;yes;Norden Mobil (DK)
935228524;06-03-2019 13:12;46840308799;Sweden;47928052XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
935228612;06-03-2019 13:12;4578772919;Danmark Fastnet;45408471XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
935228830;06-03-2019 13:13;46840308799;Sweden;47930514XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
935228913;06-03-2019 13:13;4578772913;Danmark Fastnet;47922662XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
935229262;06-03-2019 13:14;46840308799;Sweden;47920163XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
935229327;06-03-2019 13:15;46840836388;Sweden;46863531XX;Udland;Sweden;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden
935229366;06-03-2019 13:15;4578772913;Danmark Fastnet;467340022XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;420;3,35;no;0;;0;yes;Norden Mobil
935229744;06-03-2019 13:16;46840836384;Sweden;467021261XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
935229765;06-03-2019 13:16;46840308799;Sweden;468555990XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
935230066;06-03-2019 13:17;46840836384;Sweden;468553854XX;Udland;Sweden;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden
